Sitename: Willow Creek Wisconsin USA
Location: Latitude: 45.9059  Longitude: -90.0799  Elevation (masl): 515
Principal investigator: Ankur Desai
Ecosystem type: DBF Deciduous Broadleaf Forest
File creation date: 11MAY2011
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
2005,0,11.29167,11,700,0.136,-9.465,131.339,0.706,0.413,0.248,0.165,0.822,-6999,0.053,-6999,1.252,0.769,0,1.1,5,0,100,95.254,386.908,0,28.125,30.963,-1.525,0.003,0.309,-6999,-6999,0.177,273.4,275.058,2.986,0.511,0,386.953,29.6,-6999,-9999,-6999,-6999
2005,0,11.31250,11,730,0.209,-9.453,132.406,0.964,0.305,0.222,0.083,1.627,-6999,-0.228,-6999,1.252,0.729,0,1.055,5,0,100,95.239,386.991,0,28.125,30.963,2.667,7.498,6.092,-6999,-6999,1.833,273.246,274.839,2.996,0.496,0,386.924,29.6,-6999,-9999,-6999,-6999
2005,0,11.33333,11,800,0.186,-9.319,96.993,0.42,0.338,0.307,0.032,4.994,-6999,0.623,-6999,1.252,0.758,0,1.087,5,0,100,95.244,387.125,0,28.127,30.962,13.298,28.891,20.101,-6999,-6999,5.485,274.907,276.226,3.027,0.507,-0.301,387.168,29.6,-6999,-9999,-6999,-6999
2005,0,11.35417,11,830,0.152,-9.022,136.698,1.03,0.193,0.119,0.075,11.311,-6999,1.053,-6999,1.211,0.717,0,1.04,5,0,100,95.255,387.276,0,28.128,30.962,39.833,91.796,55.631,-6999,-6999,15.078,277.625,278.346,3.071,0.491,-0.301,387.238,29.6,-6999,-9999,-6999,-6999
2005,0,11.37500,11,900,0.251,-8.732,126.925,0.756,0.611,0.565,0.046,28.559,-6999,7.463,-6999,1.211,0.761,0,1.081,5,0,100,95.261,387.337,0,28.13,30.962,54.468,145.754,75.473,-6999,-6999,20.553,280.103,280.556,3.122,0.505,-0.301,387.384,29.6,-6999,-9999,-6999,-6999
2005,0,11.39583,11,930,0.29,-8.459,135.542,0.94,0.76,0.929,-0.169,27.585,-6999,4.975,-6999,1.085,0.698,0,1.013,5,0,100,95.267,387.202,0,28.132,30.961,63.094,166.187,87.163,-6999,-6999,24.015,282.329,282.383,3.144,0.482,-0.301,387.139,29.6,-6999,-9999,-6999,-6999
2005,0,11.41667,11,1000,0.264,-7.889,77.955,0.533,-0.267,0.101,-0.367,36.486,-6999,3.07,-6999,1.002,0.735,0,1.058,5,0,100,95.27,386.653,0,28.135,30.961,71.654,194.437,98.445,-6999,-6999,27.034,284.642,284.4,3.232,0.497,-0.301,386.608,29.6,-6999,-9999,-6999,-6999
2005,0,11.43750,11,1030,0.105,-7.62,37.65,0.497,0.82,1.1,-0.279,27.457,-6999,2.046,-6999,0.96,0.672,0,0.978,5,0,100,95.23,386.264,0,28.138,30.96,92.296,245.58,125.304,-6999,-6999,33.98,287.668,286.697,3.222,0.472,-0.301,386.089,29.6,-6999,-9999,-6999,-6999
2005,0,11.45833,11,1100,0.234,-7.14,134.377,0.389,0.808,1.15,-0.342,39.32,-6999,11.663,-6999,0.793,0.711,0,1.019,5,0,100,95.199,385.587,0,28.14,30.96,100.31,273.807,135.815,-6999,-6999,36.592,290.242,289.155,3.289,0.485,-0.301,385.587,29.6,-6999,-9999,-6999,-6999
2005,0,11.47917,11,1130,0.227,-6.451,63.986,0.547,0.465,0.533,-0.068,42.731,-6999,-0.911,-6999,0.752,0.665,0,0.965,5,0,100,95.155,385.676,0,28.145,30.959,136.479,336.274,183.805,-6999,-6999,48.89,293.789,292.226,3.36,0.468,-0.301,385.805,29.6,-6999,-9999,-6999,-6999
2005,0,11.50000,11,1200,0.157,-6.109,75.833,0.49,1.26,1.902,-0.641,53.018,-6999,-0.601,-6999,0.668,0.704,0,0.998,5,0,100,95.13,384.545,0,28.149,30.958,136.617,404.134,183.36,-6999,-6999,47.775,295.406,294.374,3.38,0.478,-0.301,384.386,29.6,-6999,-9999,-6999,-6999
2005,0,11.52083,11,1230,0.255,-5.43,79.854,0.588,0.761,1.031,-0.27,54.15,-6999,1.529,-6999,1.002,0.428,0,0.711,5,0,100,95.114,384.296,0,28.153,30.955,121.237,353.021,163.138,-6999,-6999,42.41,296.339,295.83,3.493,0.395,-0.301,384.361,29.6,-6999,-9999,-6999,-6999
2005,0,11.54167,11,1300,0.205,-5.33,81.508,0.464,0.838,0.749,0.089,45.344,-6999,5.142,-6999,2.087,0.125,0,0.388,5,0,100,95.078,384.525,0,28.158,30.957,109.29,309.247,147.967,-6999,-6999,38.263,295.795,296.21,3.509,0.319,-0.301,384.055,29.6,-6999,-9999,-6999,-6999
2005,0,11.56250,11,1330,0.186,-5.368,54.651,0.691,0.218,0.126,0.093,26.306,-6999,0.726,-6999,2.712,0.248,0,0.528,5,0.156,100,95.074,384.608,0,28.165,30.956,74.888,233.164,104.194,-6999,-6999,26.95,292.961,295.317,3.479,0.35,-0.301,384.637,29.6,-6999,-9999,-6999,-6999
2005,0,11.58333,11,1400,0.317,-5.181,103.94,0.82,0.54,0.713,-0.172,41.781,-6999,5.642,-6999,2.128,0.771,0,1.05,5,0,100,95.068,384.247,0,28.171,30.956,61.459,218.007,89.914,-6999,-6999,23.451,290.409,295.413,3.528,0.495,-0.301,384.301,29.6,-6999,-9999,-6999,-6999
2005,0,11.60417,11,1430,0.286,-4.88,114.684,1.113,0.634,0.417,0.217,24.362,-6999,3.965,-6999,1.586,0.875,0,1.149,5,0.156,100,95.058,384.577,0,28.179,30.955,54.71,162.8,84.065,-6999,-6999,22.428,288.928,295.856,3.574,0.528,-0.301,384.607,29.6,-6999,-9999,-6999,-6999
2005,0,11.62500,11,1500,0.257,-4.705,80.642,0.774,0.609,0.681,-0.071,15.744,-6999,0.933,-6999,1.294,0.925,0,1.196,5,0,100,95.063,384.297,0,28.186,30.955,27.195,120.724,47.328,-6999,-6999,12.746,288.278,295.666,3.596,0.545,-0.301,384.561,29.6,-6999,-9999,-6999,-6999
2005,0,11.64583,11,1530,0.25,-4.682,77.453,0.786,0.595,0.737,-0.141,8.682,-6999,0.337,-6999,1.002,0.876,0,1.153,5,0,100,95.052,384.119,0,28.195,30.954,10.924,56.048,24.391,-6999,-6999,6.776,288.403,295.094,3.614,0.529,-0.301,383.956,29.6,-6999,-9999,-6999,-6999
2005,0,11.66667,11,1600,0.188,-4.763,63.414,0.638,-0.419,0.29,-0.709,3.258,-6999,-0.097,-6999,0.835,0.92,0,1.197,5,0.156,100,95.044,383.313,0,28.203,30.954,-3.087,22.626,7.243,-6999,-6999,2.301,286.048,294.078,3.633,0.545,-0.301,382.999,29.6,-6999,-9999,-6999,-6999
2005,0,11.68750,11,1630,0.136,-4.901,62.914,0.787,-0.033,0.081,-0.113,0.385,-6999,-0.076,-6999,0.793,0.871,0,1.136,5,0,100,95.062,383.403,0,28.212,30.954,-18.356,2.019,0.12,-6999,-6999,0.861,274.536,292.152,3.625,0.524,-0.301,382.828,29.6,-6999,-9999,-6999,-6999
2005,0,11.70833,11,1700,0.167,-5.15,51.228,0.953,0.811,0.084,0.728,-0.534,-6999,-0.033,-6999,0.751,0.927,0,1.189,5,0,100,95.051,383.97,0,28.223,30.954,-16.95,0,0,-6999,-6999,0.717,274.63,290.864,3.616,0.542,0,383.933,29.6,-6999,-9999,-6999,-6999
2005,0,11.72917,11,1730,0.272,-5.37,87.712,1.419,0.867,0.121,0.746,-1.469,-6999,0.116,-6999,0.751,0.886,0,1.14,5,0,100,95.005,384.919,0,28.233,30.954,-12.875,0,0,-6999,-6999,0.604,278.194,290.466,3.627,0.525,0,384.781,29.6,-6999,-9999,-6999,-6999
2005,0,11.75000,11,1800,0.368,-5.48,91.925,1.71,0.852,0.618,0.235,-1.429,-6999,0.15,-6999,0.751,0.937,0,1.202,5,0,100,94.967,385.182,0,28.244,30.953,-7.878,0,0.034,-6999,-6999,0.473,283.05,290.491,4.31,0.547,0,385.185,29.6,-6999,-9999,-6999,-6999
2005,0,11.77083,11,1830,0.402,-5.503,101.463,1.881,0.858,0.826,0.033,-2.675,-6999,0.039,-6999,0.751,0.907,0,1.166,5,0,100,94.909,385.422,0,28.255,30.953,-4.796,0,0.156,-6999,-6999,0.385,286.201,290.768,4.305,0.534,0,385.386,29.6,-6999,-9999,-6999,-6999
2005,0,11.79167,11,1900,0.392,-5.376,93.944,1.393,0.643,0.501,0.143,-3.8,-6999,-0.334,-6999,0.793,0.959,0,1.207,5,0,100,94.879,385.579,0,28.267,30.953,-2.4,0,0.294,-6999,-6999,0.391,289.065,291.368,4.348,0.549,0,385.623,29.6,-6999,-9999,-6999,-6999
2005,0,11.81250,11,1930,0.266,-5.541,91.45,1.286,0.559,0.578,-0.019,-0.784,-6999,-0.073,-6999,0.793,0.877,0,1.136,5,0,100,94.884,385.686,0,28.278,30.953,-1.885,0,0,-6999,-6999,0.128,289.328,291.086,4.097,0.524,0,385.718,29.6,-6999,-9999,-6999,-6999
2005,0,11.83333,11,2000,0.327,-5.706,95.209,1.411,1.036,0.886,0.151,-1.956,-6999,-0.89,-6999,0.751,0.936,0,1.183,5,0,100,94.84,385.987,0,28.291,30.953,-0.83,0,0,-6999,-6999,0.027,289.811,290.614,4.029,0.54,0,385.798,29.6,-6999,-9999,-6999,-6999
2005,0,11.85417,11,2030,0.304,-5.677,89.581,1.124,0.564,0.614,-0.049,-0.034,-6999,-0.213,-6999,0.835,0.876,0,1.135,5,0,100,94.798,385.831,0,28.303,30.953,-2.258,0,0,-6999,-6999,0.073,288.56,290.746,4.109,0.523,0,385.691,29.6,-6999,-9999,-6999,-6999
2005,0,11.87500,11,2100,0.242,-5.628,85.246,1.173,0.507,0.4,0.107,0.498,-6999,0.417,-6999,0.793,0.929,0,1.165,5,0,100,94.795,386.012,0,28.316,30.952,-3.624,0,0,-6999,-6999,0.14,287.186,290.671,4.137,0.534,0,385.851,29.6,-6999,-9999,-6999,-6999
2005,0,11.89583,11,2130,0.338,-5.615,97.951,1.593,0.907,0.787,0.121,-0.88,-6999,-0.349,-6999,0.793,0.873,0,1.115,5,0,100,94.75,386.394,0,28.329,30.953,-2.944,0,0,-6999,-6999,0.079,287.905,290.77,4.16,0.516,0,386.018,29.6,-6999,-9999,-6999,-6999
2005,0,11.91667,11,2200,0.391,-5.476,111.661,1.87,0.747,0.601,0.146,-7.545,-6999,-0.25,-6999,0.793,0.937,0,1.173,5,0,100,94.723,386.176,0,28.342,30.953,-2.226,0,0.019,-6999,-6999,0.183,289.215,291.277,4.206,0.536,0,386.16,29.6,-6999,-9999,-6999,-6999
2005,0,11.93750,11,2230,0.488,-5.025,126.325,1.888,0.798,0.819,-0.021,-13.147,-6999,0.817,-6999,0.877,0.895,0,1.125,5,0,100,94.708,386.265,0,28.355,30.953,-3.063,0,0.181,-6999,-6999,0.573,290.044,292.716,4.278,0.52,0,386.066,29.6,-6999,-9999,-6999,-6999
2005,0,11.95833,11,2300,0.378,-4.672,126.67,1.348,0.547,0.601,-0.053,-8.088,-6999,0.151,-6999,0.877,0.938,0,1.169,5,0,100,94.699,386.212,0,28.369,30.953,-4.194,0,0.126,-6999,-6999,0.563,290.156,293.914,4.306,0.535,0,386.307,29.6,-6999,-9999,-6999,-6999
2005,0,11.97917,11,2330,0.363,-4.639,104.29,1.655,0.49,0.427,0.063,-4.772,-6999,0.415,-6999,0.918,0.884,0,1.117,5,0,100,94.634,386.456,0,28.382,30.953,-2.417,0,0.083,-6999,-6999,0.289,292.116,294.328,4.317,0.517,0,386.217,29.6,-6999,-9999,-6999,-6999
2005,0,12.00000,12,000,0.455,-4.673,104.685,1.795,1.288,1.07,0.218,-8.367,-6999,-0.149,-6999,0.877,0.925,0,1.164,5,0,100,94.567,386.417,0,28.396,30.952,-2.47,0,0,-6999,-6999,0.155,292.083,294.399,4.374,0.535,0,386.549,29.6,-6999,-9999,-6999,-6999
2005,0,12.02083,12,030,0.499,-4.532,102.286,2.066,0.874,0.985,-0.111,-4.345,-6999,0.509,-6999,1.294,0.629,0,0.892,5,0,100,94.525,386.548,0,28.413,30.956,-2.045,0.003,0.084,-6999,-6999,0.24,293.12,295.01,4.447,0.448,0,386.686,29.6,-6999,-9999,-6999,-6999
2005,0,12.04167,12,100,0.517,-4.464,113.861,2.147,0.749,1.26,-0.51,-6.56,-6999,-0.09,-6999,2.628,0.273,0,0.478,5,0,100,94.457,385.833,0,28.422,30.951,-1.555,0.008,0.058,-6999,-6999,0.142,293.976,295.447,4.511,0.342,0,385.9,29.6,-6999,-9999,-6999,-6999
2005,0,12.06250,12,130,0.606,-4.285,104.168,2.599,1.184,1.383,-0.198,-6.288,-6999,0.011,-6999,3.254,0.501,0,0.717,5,0,100,94.399,385.462,0,28.438,30.953,1.623,0.001,0.261,-6999,-6999,0.168,297.911,296.381,4.575,0.4,0,385.501,29.6,-6999,-9999,-6999,-6999
2005,0,12.08333,12,200,0.596,-4.049,106.007,2.168,0.699,0.956,-0.256,-9.089,-6999,0.761,-6999,2.378,1.09,0,1.312,5,0,100,94.345,385.164,0,28.452,30.953,2.38,0,0.3,-6999,-6999,0.171,299.758,297.508,4.679,0.588,0,385.196,29.6,-6999,-9999,-6999,-6999
2005,0,12.10417,12,230,0.671,-3.846,102.863,2.377,0.111,0.024,0.088,-11.012,-6999,-0.982,-6999,1.919,1.108,0,1.324,5,0.156,100,94.291,385.397,0,28.467,30.953,1.569,0,0.231,-6999,-6999,0.133,299.673,298.203,4.759,0.593,0,385.334,29.6,-6999,-9999,-6999,-6999
2005,0,12.12500,12,300,0.666,-3.648,101.573,2.575,1.094,0.732,0.363,-12.164,-6999,0.255,-6999,1.585,1.13,0,1.355,5,0,100,94.221,385.867,0,28.481,30.953,0.107,0,0.147,-6999,-6999,0.159,299.012,298.895,4.86,0.605,0,385.818,29.6,-6999,-9999,-6999,-6999
2005,0,12.14583,12,330,0.67,-3.527,101.993,2.374,0.72,0.472,0.248,-9.314,-6999,-1.58,-6999,1.419,1.089,0,1.322,5,0,100,94.146,386.237,0,28.495,30.953,0.478,0,0.059,-6999,-6999,0.077,299.998,299.502,4.963,0.592,0,386.215,29.6,-6999,-9999,-6999,-6999
2005,0,12.16667,12,400,0.64,-3.389,105.012,2.36,0.984,0.631,0.354,-7.194,-6999,-0.444,-6999,1.252,1.082,0,1.307,5,0.156,100,94.107,386.604,0,28.511,30.953,0.202,0,0.037,-6999,-6999,0.082,300.353,300.106,5.032,0.586,0,386.77,29.6,-6999,-9999,-6999,-6999
2005,0,12.18750,12,430,0.621,-3.278,100.888,1.968,1.133,0.93,0.204,-9.319,-6999,-0.71,-6999,1.168,1.002,0,1.221,5,0.156,100,94.069,386.99,0,28.525,30.953,-1.54,0,0,-6999,-6999,0,299.009,300.55,5.084,0.555,0,386.935,29.6,-6999,-9999,-6999,-6999
2005,0,12.20833,12,500,0.699,-3.143,107.549,2.642,1.089,0.79,0.3,-6.339,-6999,-0.095,-6999,1.002,1.046,0,1.268,5,0,100,94.004,387.775,0,28.541,30.953,-1.155,0,0.094,-6999,-6999,0,300.183,301.433,5.157,0.572,0,387.267,29.6,-6999,-9999,-6999,-6999
2005,0,12.22917,12,530,0.726,-2.985,110.613,2.121,0.637,0.712,-0.075,-5.602,-6999,0.051,-6999,1.002,0.998,0,1.219,5,0.156,100,93.937,387.408,0,28.555,30.953,-0.423,0,0.063,-6999,-6999,0,301.75,302.236,5.237,0.554,0,387.326,29.6,-6999,-9999,-6999,-6999
2005,0,12.25000,12,600,0.778,-2.728,112.135,3.324,0.847,0.677,0.17,-23.664,-6999,-0.331,-6999,0.918,1.034,0,1.259,5,0.156,100,93.886,387.641,0,28.571,30.954,-0.094,0,0.17,-6999,-6999,0,303.119,303.382,5.353,0.568,0,387.554,29.6,-6999,-9999,-6999,-6999
2005,0,12.27083,12,630,0.484,-2.473,99.378,5.48,-0.279,-0.157,-0.122,13.199,-6999,-4.83,-6999,0.835,0.99,0,1.206,5,0.156,100,93.826,387.535,0,28.586,30.954,-0.006,0,0.004,-6999,-6999,0,304.109,304.12,5.464,0.549,0,387.426,29.6,-6999,-9999,-6999,-6999
2005,-1,12.29167,12,700,-9999,-2.332,-9999,-9999,-9999,-9999,0.108,-9999,-6999,-9999,-6999,0.751,1.032,0,1.251,5,0,100,93.791,387.609,0,28.602,30.954,0.094,0,0.114,-6999,-6999,0,304.777,304.797,5.522,0.566,0,387.472,29.6,-6999,-9999,-6999,-6999
2005,-1,12.31250,12,730,-9999,-2.196,-9999,-9999,-9999,-9999,0.253,-9999,-6999,-9999,-6999,0.751,0.97,0,1.198,5,0,100,93.737,387.954,0,28.618,30.954,3.336,1.503,3.943,-6999,-6999,0.738,305.81,305.68,5.586,0.546,0,388.001,29.6,-6999,-9999,-6999,-6999
2005,-1,12.33333,12,800,-9999,-1.996,-9999,-9999,-9999,-9999,0.216,-9999,-6999,-9999,-6999,0.751,1.011,0,1.23,5,0.156,100,93.705,388.33,0,28.634,30.955,10.184,20.104,13.445,-6999,-6999,3.264,307.136,307.132,5.68,0.558,-0.321,388.375,29.6,-6999,-9999,-6999,-6999
2005,-1,12.35417,12,830,-9999,-1.794,-9999,-9999,-9999,-9999,0.236,-9999,-6999,-9999,-6999,0.751,0.963,0,1.188,5,0,100,93.699,388.572,0,28.651,30.955,9.661,22.208,12.683,-6999,-6999,3.117,307.64,307.544,5.765,0.543,-0.321,388.572,29.6,-6999,-9999,-6999,-6999
2005,-1,12.37500,12,900,-9999,-1.608,-9999,-9999,-9999,-9999,0.222,-9999,-6999,-9999,-6999,0.751,1.004,0,1.218,5,0,100,93.664,388.866,0,28.667,30.955,16.036,31.705,21.255,-6999,-6999,5.17,309.193,309.243,5.849,0.553,-0.321,388.828,29.6,-6999,-9999,-6999,-6999
2005,-1,12.39583,12,930,-9999,-1.392,-9999,-9999,-9999,-9999,0.216,-9999,-6999,-9999,-6999,0.751,0.959,0,1.181,5,0.156,100,93.634,389.19,0,28.683,30.955,28.891,78.651,38.396,-6999,-6999,9.83,310.41,310.085,5.948,0.541,-0.321,389.269,29.6,-6999,-9999,-6999,-6999
2005,-1,12.41667,12,1000,-9999,-1.244,-9999,-9999,-9999,-9999,0.291,-9999,-6999,-9999,-6999,0.751,1.016,0,1.226,5,0,100,93.588,389.705,0,28.703,30.955,27.307,72.364,36.188,-6999,-6999,9.271,310.719,310.33,6.011,0.556,-0.321,389.726,29.6,-6999,-9999,-6999,-6999
2005,-1,12.43750,12,1030,-9999,-1.125,-9999,-9999,-9999,-9999,0.439,-9999,-6999,-9999,-6999,0.751,0.979,0,1.183,5,0,100,93.517,390.36,0,28.722,30.956,39.761,95.225,52.749,-6999,-6999,13.62,311.88,311.248,6.07,0.541,-0.321,390.37,29.6,-6999,-9999,-6999,-6999
2005,-1,12.45833,12,1100,-9999,-1.004,-9999,-9999,-9999,-9999,0.51,-9999,-6999,-9999,-6999,0.71,1.008,0,1.219,5,0.156,100,93.437,391.127,0,28.741,30.956,40.944,116.457,54.136,-6999,-6999,13.906,312.595,311.881,6.137,0.554,-0.321,391.198,29.6,-6999,-9999,-6999,-6999
2005,-1,12.47917,12,1130,-9999,-0.942,-9999,-9999,-9999,-9999,0.566,-9999,-6999,-9999,-6999,0.668,0.967,0,1.166,5,0,100,93.358,391.988,0,28.759,30.957,32.064,90.222,42.326,-6999,-6999,10.788,312.425,311.899,6.178,0.535,-0.321,391.947,29.6,-6999,-9999,-6999,-6999
2005,-1,12.50000,12,1200,-9999,-0.833,-9999,-9999,-9999,-9999,0.294,-9999,-6999,-9999,-6999,0.626,1.013,0,1.217,5,0.156,100,93.335,392.375,0,28.778,30.957,37.826,106.434,50.063,-6999,-6999,12.813,313.431,312.856,6.237,0.553,-0.321,392.383,29.6,-6999,-9999,-6999,-6999
2005,-1,12.52083,12,1230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,-6999,1.001,0.784,0,0.974,5,0,100,93.412,393.382,-9999,28.788,30.958,-9999,151.509,-9999,-6999,-6999,-9999,-9999,-9999,-9999,0.472,-0.321,393.153,29.6,-6999,-9999,-6999,-6999
2005,-1,12.54167,12,1300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,-6999,0.167,1.13,0,1.291,5,0.156,100,93.343,394.512,-9999,28.808,30.957,-9999,112.85,-9999,-6999,-6999,-9999,-9999,-9999,-9999,0.58,-0.321,394.451,29.6,-6999,-9999,-6999,-6999
2005,-1,12.56250,12,1330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,-6999,-1.459,1.471,0,1.644,5,0.932,100,93.298,395.396,-9999,28.828,30.958,-9999,101.533,-9999,-6999,-6999,-9999,-9999,-9999,-9999,0.729,-0.321,395.349,29.6,-6999,-9999,-6999,-6999
2005,-1,12.58333,12,1400,-9999,-0.327,-9999,-9999,-9999,-9999,0.4,-9999,-6999,-9999,-6999,-1.668,0.807,0,0.969,5,0,100,93.266,396.032,0,28.847,30.958,15.993,76.041,21.559,-6999,-6999,5.27,314.069,314.365,6.471,0.471,-0.321,396.135,29.6,-6999,-9999,-6999,-6999
2005,-1,12.60417,12,1430,-9999,-0.315,-9999,-9999,-9999,-9999,1.447,-9999,-6999,-9999,-6999,-1.001,0.572,0,0.739,5,0,100,93.213,397.871,0,28.868,30.958,13.331,39.659,17.843,-6999,-6999,4.245,313.974,314.241,6.469,0.406,-0.321,397.921,29.6,-6999,-9999,-6999,-6999
2005,-1,12.62500,12,1500,-9999,-0.353,-9999,-9999,-9999,-9999,0.822,-9999,-6999,-9999,-6999,-0.041,0.57,0,0.752,5,0,100,93.217,399.513,0,28.888,30.958,13.03,34.729,17.602,-6999,-6999,4.194,313.755,314.133,6.425,0.409,-0.321,399.503,29.6,-6999,-9999,-6999,-6999
2005,-1,12.64583,12,1530,-9999,-0.44,-9999,-9999,-9999,-9999,0.37,-9999,-6999,-9999,-6999,0.418,0.543,0,0.727,5,0,100,93.234,399.916,0,28.908,30.959,6.026,18.398,8.786,-6999,-6999,2.074,313.179,313.866,6.376,0.402,-0.321,399.845,29.6,-6999,-9999,-6999,-6999
2005,-1,12.66667,12,1600,-9999,-0.555,-9999,-9999,-9999,-9999,0.474,-9999,-6999,-9999,-6999,-1.125,2.864,0,3.033,5,0,100,93.235,400.632,0,28.93,30.959,2.008,5.919,3.442,-6999,-6999,0.684,312.638,313.389,6.333,1.784,-0.321,400.795,29.6,-6999,-9999,-6999,-6999
2005,-1,12.68750,12,1630,-9999,-0.668,-9999,-9999,-9999,-9999,0.272,-9999,-6999,-9999,-6999,-0.416,1.56,0,1.736,5,0,100,93.298,400.969,0,28.952,30.961,-0.345,0.089,0.401,-6999,-6999,0,311.872,312.618,6.306,0.774,-0.321,401.144,29.6,-6999,-9999,-6999,-6999
2005,-1,12.70833,12,1700,-9999,-0.767,-9999,-9999,-9999,-9999,-0.261,-9999,-6999,-9999,-6999,2.044,0.497,0,0.67,5,0,100,93.272,400.59,0,28.974,30.958,-0.665,0.017,0,-6999,-6999,0,311.134,311.8,6.275,0.388,0,400.56,29.6,-6999,-9999,-6999,-6999
2005,-1,12.72917,12,1730,-9999,-0.886,-9999,-9999,-9999,-9999,-0.162,-9999,-6999,-9999,-6999,2.877,0.515,0,0.683,5,0,100,93.264,400.482,0,28.996,30.96,-0.599,0.003,0,-6999,-6999,0,310.56,311.159,6.219,0.391,0,400.377,29.6,-6999,-9999,-6999,-6999
2005,-1,12.75000,12,1800,-9999,-0.996,-9999,-9999,-9999,-9999,8.646,-9999,-6999,-9999,-6999,2.669,0.973,0,1.143,5,0,100,93.278,413.271,0,29.018,30.96,-0.588,0,0,-6999,-6999,0,310.167,310.755,6.159,0.527,0,413.017,29.6,-6999,-9999,-6999,-6999
2005,-1,12.77083,12,1830,-9999,-1.13,-9999,-9999,-9999,-9999,-10.785,-9999,-6999,-9999,-6999,2.502,1.162,0,1.317,5,0,100,93.302,397.205,0,29.041,30.961,-0.623,0,0,-6999,-6999,0,309.563,310.187,6.081,0.59,0,397.253,29.6,-6999,-9999,-6999,-6999
2005,-1,12.79167,12,1900,-9999,-1.19,-9999,-9999,-9999,-9999,-0.335,-9999,-6999,-9999,-6999,2.21,1.131,0,1.289,5,0,100,93.338,396.726,0,29.064,30.961,-0.589,0,0,-6999,-6999,0,309.374,309.963,6.066,0.58,0,396.801,29.6,-6999,-9999,-6999,-6999
2005,-1,12.81250,12,1930,-9999,-1.281,-9999,-9999,-9999,-9999,2.066,-9999,-6999,-9999,-6999,2.127,1.193,0,1.352,5,0,100,93.371,399.832,0,29.088,30.961,-0.843,0,0,-6999,-6999,0,308.333,309.177,6.004,0.604,0,399.785,29.6,-6999,-9999,-6999,-6999
2005,-1,12.83333,12,2000,-9999,-1.536,-9999,-9999,-9999,-9999,-1.219,-9999,-6999,-9999,-6999,1.96,1.135,0,1.291,5,0,100,93.391,397.957,0,29.111,30.962,-1.087,0,0,-6999,-6999,0,306.876,307.964,5.81,0.58,0,398.024,29.6,-6999,-9999,-6999,-6999
2005,-1,12.85417,12,2030,-9999,-1.697,-9999,-9999,-9999,-9999,-0.082,-9999,-6999,-9999,-6999,1.877,1.151,0,1.306,5,0,100,93.386,397.88,0,29.135,30.962,-1.052,0,0,-6999,-6999,0,306.225,307.278,5.719,0.586,0,397.88,29.6,-6999,-9999,-6999,-6999
2005,-1,12.87500,12,2100,-9999,-2.019,-9999,-9999,-9999,-9999,0.486,-9999,-6999,-9999,-6999,1.835,1.115,0,1.279,5,0,100,93.392,398.662,0,29.159,30.964,-1.382,0,0,-6999,-6999,0,304.143,305.526,5.467,0.576,0,398.772,29.6,-6999,-9999,-6999,-6999
2005,-1,12.89583,12,2130,-9999,-2.499,-9999,-9999,-9999,-9999,-0.857,-9999,-6999,-9999,-6999,1.752,1.021,0,1.189,5,0,100,93.481,397.286,0,29.184,30.964,-1.511,0,0,-6999,-6999,0,302.301,303.813,5.235,0.543,0,397.346,29.6,-6999,-9999,-6999,-6999
2005,-1,12.91667,12,2200,-9999,-3.133,-9999,-9999,-9999,-9999,-1.715,-9999,-6999,-9999,-6999,1.627,1.1,0,1.261,5,0,100,93.539,394.805,0,29.209,30.964,-1.454,0,0,-6999,-6999,0,300.08,301.535,5.02,0.569,0,394.66,29.6,-6999,-9999,-6999,-6999
